C2BrOP,O=PC#CBr
C3H8IP,CPC(C)I
C3H8IP_1,CC(P)CI
C3H8IP_2,IC(P)CC
C3H8IP_3,CPCCI
C3H8IP_4,IC(C)(P)C
C3H8IP_5,IC(C)CP
C3H8IP_6,PCCCI
C3H8IP_7,CP(CI)C
C3H8IP_8,ICPCC
C3H8NOP,N1CCCOP1
C3H8NPS,CCNC(P)=S
C3H9O2P,O=P(C)(C)CO
C3H9O2P_1,CP(OC)OC
C3H9O2P_2,CP(O)OCC
C3H9O2P_3,O=P(C)OCC
C3H9O2P_4,O=P(O)(C)CC
C3H9O2P_5,O=P(OC)(C)C
C3H9O2P_6,O=P(CC)OC
C3H9O2P_7,CCP(O)OC
C3H9O2P_8,O=P(CCC)O
C3H9O2P_9,CCCP(O)O
C3H9OPS,CP(C)(=S)OC
C3H9OPS_1,CP(C)(=O)SC
C3H9OPSe,CP(C)([Se]C)=O
C3H9P,CPCC
C3H9P_1,CC(P)C
C3H9P_2,CCCP
C3H9P_3,CP(C)C
C3H9PS,CCSPC
C3H9PS_1,S=P(C)(C)C
C3H9PS2,S(P(SC)C)C
C3H9PS2_1,CP(C)(=S)SC
C4H10BrP,CC(CBr)(P)C
C4H10BrP_1,CC(C(P)Br)C
C4H10BrP_2,BrCC(P)CC
C4H10BrP_3,BrC(P)CCC
C4H10BrP_4,CCPC(C)Br
C4H10BrP_5,CP(C(C)Br)C
C4H10BrP_6,CPC(CBr)C
C4H10BrP_7,CPC(CC)Br
C4H10BrP_8,BrC(C)(CP)C
C4H10BrP_9,BrC(CC)(P)C
C4H10BrP_10,BrC(CC)CP
C4H10BrP_11,CCPCCBr
C4H10BrP_12,CP(CCBr)C
C4H10BrP_13,CPC(C)(C)Br
C4H10BrP_14,CPCC(C)Br
C4H10BrP_15,CC(CP)CBr
C4H10BrP_16,CC(P)C(C)Br
C4H10BrP_17,BrC(C)CCP
C4H10BrP_18,CPCCCBr
C4H10BrP_19,CC(P)CCBr
C4H10BrP_20,BrCCCCP
C4H10BrP_21,CP(CC)CBr
C4H10BrP_22,BrCPC(C)C
C4H10BrP_23,BrCPCCC
C4H10ClP,CC(CCl)(P)C
C4H10ClP_1,CC(C(P)Cl)C
C4H10ClP_2,ClCC(P)CC
C4H10ClP_3,ClC(P)CCC
C4H10ClP_4,CCPC(C)Cl
C4H10ClP_5,CP(C(C)Cl)C
C4H10ClP_6,CPC(CCl)C
C4H10ClP_7,CPC(CC)Cl
C4H10ClP_8,ClC(C)(CP)C
C4H10ClP_9,ClC(CC)(P)C
C4H10ClP_10,ClC(CC)CP
C4H10ClP_11,CCPCCCl
C4H10ClP_12,CP(CCCl)C
C4H10ClP_13,CPC(C)(C)Cl
C4H10ClP_14,CPCC(C)Cl
C4H10ClP_15,CC(CP)CCl
C4H10ClP_16,CC(P)C(C)Cl
C4H10ClP_17,ClC(C)CCP
C4H10ClP_18,CPCCCCl
C4H10ClP_19,CC(P)CCCl
C4H10ClP_20,ClCCCCP
C4H10ClP_21,CP(CC)CCl
C4H10ClP_22,ClCPC(C)C
C4H10ClP_23,ClCPCCC
C4H10FP,CP(C)C(F)C
C4H10FP_1,CPC(F)CC
C4H10FP_2,CP(C)CCF
C4H10FP_3,CPCC(F)C
C4H10FP_4,CPCCCF
C4H10FP_5,FCPCCC
C4H10FP_6,CCPC(F)C
C4H10FP_7,CCPCCF
C4H10FP_8,CP(CF)CC
C4H10IP,CP(C)C(I)C
C4H10IP_1,CPC(CI)C
C4H10IP_2,CPC(CC)I
C4H10IP_3,CP(C)CCI
C4H10IP_4,CPC(C)(C)I
C4H10IP_5,CPCC(C)I
C4H10IP_6,CPCCCI
C4H10IP_7,ICPC(C)C
C4H10IP_8,ICPCCC
C4H10IP_9,CCPC(C)I
C4H10IP_10,CCPCCI
C4H10IP_11,CP(CI)CC
C4H11OP,O=P(CC)CC
C4H11OP_1,CP(CC)OC
C4H11OP_2,O=P(CC)(C)C
C4H11OP_3,CCCPOC
C4H11OP_4,O=P(C)CCC
C4H11P,CCCCP
C4H11P_1,CCPCC
C4H11P_2,CP(CC)C
C4H11P_3,CC(CP)C
C4H11P_4,CPC(C)C
C4H11P_5,CPCCC
C4H11P_6,CC(P)CC
C4H11P_7,CC(C)(P)C
C4H11PS,SCCP(C)C
C4H11PS_1,CCP(=S)CC
C4H11PS_2,S=P(C)(C)CC
C4H11PSe,[SeH]CCP(C)C
C4H12NP,NCCP(C)C
C4H12NP_1,N(C)(C)CCP
C4H2BrP,C#CPC#CBr
C4H2FP,C#CPC#CF
C4H2IP,C#CPC#CI
C4H3OP,O=P(C#C)C#C
C4H3P,C#CPC#C
C4H4BrP,BrC(PC#C)=C
C4H4BrP_1,BrC=CPC#C
C4H4BrP_2,C=CPC#CBr
C4H4BrP_3,BrC#CP1CC1
C4H4BrP_4,C#CP1C(Br)C1
C4H4BrP_5,BrC1=CC=CP1
C4H4BrP_6,BrC1=CPC=C1
C4H4ClP,ClC(PC#C)=C
C4H4ClP_1,ClC=CPC#C
C4H4ClP_2,C=CPC#CCl
C4H4ClP_3,ClC#CP1CC1
C4H4ClP_4,C#CP1C(Cl)C1
C4H4ClP_5,ClC1=CC=CP1
C4H4ClP_6,ClC1=CPC=C1
C4H4FP,C=CPC#CF
C4H4FP_1,FC#CP1CC1
C4H4FP_2,C#CP1C(F)C1
C4H4FP_3,FC1=CC=CP1
C4H4FP_4,FC1=CPC=C1
C4H4FP_5,FC(PC#C)=C
C4H4FP_6,FC=CPC#C
C4H4IP,C=CPC#CI
C4H4IP_1,IC#CP1CC1
C4H4IP_2,C#CP1C(I)C1
C4H4IP_3,IC1=CC=CP1
C4H4IP_4,IC1=CPC=C1
C4H4IP_5,IC(PC#C)=C
C4H4IP_6,IC=CPC#C
C4H5OP,O=P1(C#C)CC1
C4H5OP_1,O=P(C=C)C#C
C4H5OP_2,O=P1C=CC=C1
C4H5P,C#CP1CC1
C4H5P_1,P1C=CC=C1
C4H5P_2,C=CPC#C
C4H6BrP,BrC(P)CC#C
C4H6BrP_1,BrCC(P)C#C
C4H6BrP_2,BrC1(P)CC=C1
C4H6BrP_3,BrC(PC#C)C
C4H6BrP_4,CPC(C#C)Br
C4H6BrP_5,C=CPC(Br)=C
C4H6BrP_6,BrC(C#C)CP
C4H6BrP_7,BrC(C#C)(P)C
C4H6BrP_8,BrCCPC#C
C4H6BrP_9,C=CPC=CBr
C4H6BrP_10,CPCC#CBr
C4H6BrP_11,CCPC#CBr
C4H6BrP_12,CP(C)C#CBr
C4H6BrP_13,CP(CBr)C#C
C4H6BrP_14,BrCPCC#C
C4H6BrP_15,BrC(P1CC1)=C
C4H6BrP_16,BrC=CP1CC1
C4H6BrP_17,BrCP1C=CC1
C4H6BrP_18,CP1C=CC1Br
C4H6BrP_19,BrC1CP1C=C
C4H6BrP_20,BrC1CC=CP1
C4H6BrP_21,CP1C=C(Br)C1
C4H6BrP_22,BrC1C=CPC1
C4H6BrP_23,CP1C(Br)=CC1
C4H6BrP_24,BrC1=CPCC1
C4H6BrP_25,BrC1=CCCP1
C4H6ClP,ClC(P)CC#C
C4H6ClP_1,ClCC(P)C#C
C4H6ClP_2,ClC1(P)CC=C1
C4H6ClP_3,ClC(PC#C)C
C4H6ClP_4,CPC(C#C)Cl
C4H6ClP_5,C=CPC(Cl)=C
C4H6ClP_6,ClC(C#C)CP
C4H6ClP_7,ClC(C#C)(P)C
C4H6ClP_8,ClC1=CCC1P
C4H6ClP_9,ClCCPC#C
C4H6ClP_10,C=CPC=CCl
C4H6ClP_11,ClC1=CC(P)C1
C4H6ClP_12,CPCC#CCl
C4H6ClP_13,ClC#CCCP
C4H6ClP_14,CC(P)C#CCl
C4H6ClP_15,ClC1C(P)C=C1
C4H6ClP_16,CCPC#CCl
C4H6ClP_17,CP(C)C#CCl
C4H6ClP_18,CP(CCl)C#C
C4H6ClP_19,ClCPCC#C
C4H6ClP_20,ClC(P1CC1)=C
C4H6ClP_21,ClC=CP1CC1
C4H6ClP_22,ClCP1C=CC1
C4H6ClP_23,CP1C=CC1Cl
C4H6ClP_24,ClC1CP1C=C
C4H6ClP_25,ClC1CC=CP1
C4H6ClP_26,CP1C=C(Cl)C1
C4H6ClP_27,ClC1C=CPC1
C4H6ClP_28,CP1C(Cl)=CC1
C4H6ClP_29,ClC1=CPCC1
C4H6ClP_30,ClC1=CCCP1
C4H6FP,CPC(F)C#C
C4H6FP_1,C=CPC(F)=C
C4H6FP_2,C=CPC=CF
C4H6FP_3,CPCC#CF
C4H6FP_4,CP(C)C#CF
C4H6FP_5,FCPCC#C
C4H6FP_6,FC(P1CC1)=C
C4H6FP_7,FC=CP1CC1
C4H6FP_8,FCP1C=CC1
C4H6FP_9,CP1C=CC1F
C4H6FP_10,FC1CP1C=C
C4H6FP_11,FC1CC=CP1
C4H6FP_12,CP1C=C(F)C1
C4H6FP_13,FC1C=CPC1
C4H6FP_14,CP1C(F)=CC1
C4H6FP_15,FC1=CPCC1
C4H6FP_16,FC1=CCCP1
C4H6FP_17,CCPC#CF
C4H6FP_18,FC(PC#C)C
C4H6FP_19,FCCPC#C
C4H6FP_20,CP(CF)C#C
C4H6IP,CPC(I)C#C
C4H6IP_1,C=CPC(I)=C
C4H6IP_2,C=CPC=CI
C4H6IP_3,CPCC#CI
C4H6IP_4,CP(C)C#CI
C4H6IP_5,ICPCC#C
C4H6IP_6,IC(P1CC1)=C
C4H6IP_7,IC=CP1CC1
C4H6IP_8,ICP1C=CC1
C4H6IP_9,CP1C=CC1I
C4H6IP_10,IC1CP1C=C
C4H6IP_11,IC1CC=CP1
C4H6IP_12,CP1C=C(I)C1
C4H6IP_13,IC1C=CPC1
C4H6IP_14,CP1C(I)=CC1
C4H6IP_15,IC1=CPCC1
C4H6IP_16,IC1=CCCP1
C4H6IP_17,CCPC#CI
C4H6IP_18,IC(PC#C)C
C4H6IP_19,ICCPC#C
C4H6IP_20,CP(CI)C#C
C4H7OP,COP1C=CC1
C4H7OP_1,O=P1(C)C=CC1
C4H7OP_2,O=P1(C=C)CC1
C4H7OP_3,O=P1C=CCC1
C4H7OP_4,O=P(C=C)C=C
C4H7OP_5,O=P(CC)C#C
C4H7OP_6,CP(C#C)OC
C4H7OP_7,O=P(C#C)(C)C
C4H7OP_8,C#CCPOC
C4H7OP_9,O=P(C)CC#C
C4H7P,CP1C=CC1
C4H7P_1,C=CP1CC1
C4H7P_2,P1C=CCC1
C4H7P_3,C#CCCP
C4H7P_4,CC(P)C#C
C4H7P_5,C(=C)=C(P)C
C4H7P_6,PC1CC=C1
C4H7P_7,C=CPC=C
C4H7P_8,CCPC#C
C4H7P_9,CP(C)C#C
C4H7P_10,CC#CPC
C4H7P_11,CPCC#C
C4H8BrP,BrC1(CP)CC1
C4H8BrP_1,BrC1C(CP)C1
C4H8BrP_2,BrCC1(P)CC1
C4H8BrP_3,CPC(C=C)Br
C4H8BrP_4,BrC(P)CC=C
C4H8BrP_5,BrCC(P)C=C
C4H8BrP_6,BrC1(P)CCC1
C4H8BrP_7,CPC1(CC1)Br
C4H8BrP_8,BrC(PC=C)C
C4H8BrP_9,CCPC(Br)=C
C4H8BrP_10,CP(C)C(Br)=C
C4H8BrP_11,CC1(P)CC1Br
C4H8BrP_12,CPCC(Br)=C
C4H8BrP_13,BrC(C=C)CP
C4H8BrP_14,BrC(C=C)(P)C
C4H8BrP_15,BrC1C(P)CC1
C4H8BrP_16,CPC1CC1Br
C4H8BrP_17,BrCCPC=C
C4H8BrP_18,CCPC=CBr
C4H8BrP_19,CP(C)C=CBr
C4H8BrP_20,CPCC=CBr
C4H8BrP_21,BrC(CCP)=C
C4H8BrP_22,CC(P)C(Br)=C
C4H8BrP_23,BrC1CC(P)C1
C4H8BrP_24,CC(P)C=CBr
C4H8BrP_25,BrC(P)C1CC1
C4H8BrP_26,BrCPC1CC1
C4H8BrP_27,CP(CBr)C=C
C4H8BrP_28,BrC(P1CC1)C
C4H8BrP_29,BrCCP1CC1
C4H8BrP_30,BrCP1CCC1
C4H8BrP_31,BrC1CP1CC
C4H8BrP_32,CP1C(Br)CC1
C4H8BrP_33,BrC1PCCC1
C4H8BrP_34,CP1CC(Br)C1
C4H8BrP_35,BrC1CCPC1
C4H8BrP_36,BrCPCC=C
C4H8ClP,ClC1(CP)CC1
C4H8ClP_1,ClC1C(CP)C1
C4H8ClP_2,ClCC1(P)CC1
C4H8ClP_3,CPC(C=C)Cl
C4H8ClP_4,ClC(P)CC=C
C4H8ClP_5,ClCC(P)C=C
C4H8ClP_6,ClC1(P)CCC1
C4H8ClP_7,CPC1(CC1)Cl
C4H8ClP_8,ClC(PC=C)C
C4H8ClP_9,CCPC(Cl)=C
C4H8ClP_10,CP(C)C(Cl)=C
C4H8ClP_11,CC1(P)CC1Cl
C4H8ClP_12,CPCC(Cl)=C
C4H8ClP_13,ClC(C=C)CP
C4H8ClP_14,ClC(C=C)(P)C
C4H8ClP_15,ClC1C(P)CC1
C4H8ClP_16,CPC1CC1Cl
C4H8ClP_17,ClCCPC=C
C4H8ClP_18,CCPC=CCl
C4H8ClP_19,CP(C)C=CCl
C4H8ClP_20,CPCC=CCl
C4H8ClP_21,ClC(CCP)=C
C4H8ClP_22,CC(P)C(Cl)=C
C4H8ClP_23,ClC1CC(P)C1
C4H8ClP_24,ClC=CCCP
C4H8ClP_25,CC(P)C=CCl
C4H8ClP_26,ClC(P)C1CC1
C4H8ClP_27,ClCPC1CC1
C4H8ClP_28,CP(CCl)C=C
C4H8ClP_29,ClC(P1CC1)C
C4H8ClP_30,ClCCP1CC1
C4H8ClP_31,ClCP1CCC1
C4H8ClP_32,ClC1CP1CC
C4H8ClP_33,CP1C(Cl)CC1
C4H8ClP_34,ClC1PCCC1
C4H8ClP_35,CP1CC(Cl)C1
C4H8ClP_36,ClC1CCPC1
C4H8ClP_37,ClCPCC=C
C4H8FP,CPC(F)C=C
C4H8FP_1,FC(PC=C)C
C4H8FP_2,CP(C)C(F)=C
C4H8FP_3,CPCC(F)=C
C4H8FP_4,FCCPC=C
C4H8FP_5,CP(C)C=CF
C4H8FP_6,CPCC=CF
C4H8FP_7,CP(CF)C=C
C4H8FP_8,FC(P1CC1)C
C4H8FP_9,FCCP1CC1
C4H8FP_10,FCP1CCC1
C4H8FP_11,FC1CP1CC
C4H8FP_12,CP1C(F)CC1
C4H8FP_13,FC1CCCP1
C4H8FP_14,CP1CC(F)C1
C4H8FP_15,FC1CPCC1
C4H8FP_16,FCPCC=C
C4H8FP_17,CCPC(F)=C
C4H8FP_18,CCPC=CF
C4H8IP,CPC(C=C)I
C4H8IP_1,IC(PC=C)C
C4H8IP_2,CP(C)C(I)=C
C4H8IP_3,CPCC(I)=C
C4H8IP_4,ICCPC=C
C4H8IP_5,CP(C)C=CI
C4H8IP_6,CPCC=CI
C4H8IP_7,CP(CI)C=C
C4H8IP_8,IC(P1CC1)C
C4H8IP_9,ICCP1CC1
C4H8IP_10,ICP1CCC1
C4H8IP_11,IC1CP1CC
C4H8IP_12,CP1C(I)CC1
C4H8IP_13,IC1CCCP1
C4H8IP_14,CP1CC(I)C1
C4H8IP_15,IC1CPCC1
C4H8IP_16,ICPCC=C
C4H8IP_17,CCPC(I)=C
C4H8IP_18,CCPC=CI
C4H9OP,C1CCPOC1
C4H9OP_1,C1COCCP1
C4H9OP_2,O=P1(CC)CC1
C4H9OP_3,COP1CCC1
C4H9OP_4,O=P1(C)CCC1
C4H9OP_5,C=CCPOC
C4H9OP_6,O=P(C)CC=C
C4H9OP_7,O=P(C=C)(C)C
C4H9OP_8,O=P(CC)C=C
C4H9OP_9,CC(C)CP=O
C4H9OP_10,CP(C=C)OC
C4H9OP_11,O=P1CCCC1
C4H9P,CC1(P)CC1
C4H9P_1,C=C(C)CP
C4H9P_2,PCC1CC1
C4H9P_3,CCP1CC1
C4H9P_4,CP1CCC1
C4H9P_5,CCC1CP1
C4H9P_6,CPCC=C
C4H9P_7,C(=C/CP)\C
C4H9P_8,C=CCCP
C4H9P_9,CC(P)C=C
C4H9P_10,PC1CCC1
C4H9P_11,CPC1CC1
C4H9P_12,CP(C)C=C
C4H9P_13,CCPC=C
C4H9P_14,C1CCCP1
C4H9PS,CP(C)(=S)C=C
C5H11P,CC1(CP)CC1
C5H11P_1,CC(P)C1CC1
C5H11P_2,CCC1(P)CC1
C5H11P_3,CC1(P)CCC1
C5H11P_4,PCCC1CC1
C5H11P_5,CC(CP)C=C
C5H11P_6,CC(C=C)(P)C
C5H11P_7,CC1CCC1P
C5H11P_8,PCC1CCC1
C5H11P_9,CPCC1CC1
C5H11P_10,CCP1CCC1
C5H11P_11,CP1CCCC1
C5H11P_12,CCCP1CC1
C5H11P_13,CC1PCCC1
C5H11P_14,CCPCC=C
C5H11P_15,CP(CC=C)C
C5H11P_16,CPCCC=C
C5H11P_17,CPC(C=C)C
C5H11P_18,CPC1CCC1
C5H11P_19,PC1CCCC1
C5H11P_20,CCPC1CC1
C5H11P_21,CP(C1CC1)C
C5H11P_22,CP(CC)C=C
C5H11P_23,CPC1(CC1)C
C5H11P_24,CCC(P)C=C
C5H11P_25,C=CCCCP
C5H11P_26,CC(P)CC=C
C5H11P_27,C1CCCCP1
C5H11P_28,C=CPCCC
C5H13P,CC(CP)CC
C5H13P_1,CC(C(P)C)C
C5H13P_2,CPCCCC
C5H13P_3,CP(CC)CC
C5H13P_4,CP(CCC)C
C5H13P_5,CCPC(C)C
C5H13P_6,CCPCCC
C5H13P_7,CC(CPC)C
C5H13P_8,CC(CCP)C
C5H13P_9,CP(C(C)C)C
C5H13P_10,CC(C)(CP)C
C5H13P_11,CC(P)CCC
C5H13P_12,CCC(P)CC
C5H13P_13,CCCCCP
C5H13P_14,CPC(CC)C
C5H13P_15,CPC(C)(C)C
C5H13P_16,CC(CC)(P)C
C5H5P,C#CP1C=CC1
C5H5P_1,CP(C#C)C#C
C5H5P_2,C#CPCC#C
C5H5P_3,C#CC(P)C#C
C5H7P,C#CCP1CC1
C5H7P_1,C#CP1CCC1
C5H7P_2,CP1C=CC=C1
C5H7P_3,C=CP1C=CC1
C5H7P_4,C#CPCC=C
C5H7P_5,PC=1C\C=C/C=1
C5H7P_6,CP(C=C)C#C
C5H7P_7,C=CC(P)C#C
C5H7P_8,C=CPCC#C
C5H9P,CC1(P)CC=C1
C5H9P_1,C=CC1(P)CC1
C5H9P_2,CC(CP)C#C
C5H9P_3,CC(C#C)(P)C
C5H9P_4,PCC1CC=C1
C5H9P_5,C1CC=CCP1
C5H9P_6,C=CCP1CC1
C5H9P_7,CCP1C=CC1
C5H9P_8,CP1C=CCC1
C5H9P_9,C\1=C\CP(C)C/1
C5H9P_10,C=CP1CCC1
C5H9P_11,C\C1=C\PCC1
C5H9P_12,C=CPCC=C
C5H9P_13,CPCCC#C
C5H9P_14,CPC(C#C)C
C5H9P_15,CPC1CC=C1
C5H9P_16,PC1CCC=C1
C5H9P_17,CP(CC#C)C
C5H9P_18,CP(CC)C#C
C5H9P_19,CCPCC#C
C5H9P_20,C#CPCCC
C5H9P_21,CP(C=C)C=C
C5H9P_22,CCC(P)C#C
C5H9P_23,C#CCCCP
C5H9P_24,CC(P)CC#C
C5H9P_25,C=CC(P)C=C
CBr2ClOP,O=PC(Cl)(Br)Br
CBr2FOP,O=PC(F)(Br)Br
CBr3OP,O=PC(Br)(Br)Br
CBrCl2OP,O=PC(Cl)(Br)Cl
CBrClFOP,O=PC(F)(Br)Cl
CBrClIOP,O=PC(I)(Br)Cl
CBrF2OP,O=PC(F)(Br)F
CBrFIOP,O=PC(I)(Br)F
CCl2FOP,O=PC(F)(Cl)Cl
CCl2IOP,O=PC(I)(Cl)Cl
CCl3OP,O=PC(Cl)(Cl)Cl
CClF2OP,O=PC(F)(Cl)F
CClFIOP,O=PC(I)(Cl)F
CF2IOP,O=PC(I)(F)F
CF3OP,O=PC(F)(F)F
CFI2OP,O=PC(I)(F)I
CH2Br2ClOP,BrC(Cl)(Br)[P]([H])([H])=O
CH2Br2ClP,PC(Cl)(Br)Br
CH2Br2FOP,BrC(F)(Br)[P]([H])([H])=O
CH2Br2FP,PC(F)(Br)Br
CH2Br2IP,PC(I)(Br)Br
CH2Br3P,PC(Br)(Br)Br
CH2BrCl2OP,BrC(Cl)(Cl)[P]([H])([H])=O
CH2BrCl2P,BrC(Cl)(P)Cl
CH2BrClFOP,BrC(F)(Cl)[P]([H])([H])=O
CH2BrClFP,PC(F)(Br)Cl
CH2BrClIP,PC(I)(Br)Cl
CH2BrF2OP,BrC(F)(F)[P]([H])([H])=O
CH2BrF2P,PC(F)(Br)F
CH2BrFIOP,BrC(F)(I)[P]([H])([H])=O
CH2BrFIP,PC(I)(Br)F
CH2BrI2P,PC(I)(Br)I
CH2BrOP,O=PCBr
CH2Cl2FOP,ClC(F)(Cl)[P]([H])([H])=O
CH2Cl2FP,PC(F)(Cl)Cl
CH2Cl2IOP,ClC(I)(Cl)[P]([H])([H])=O
CH2Cl2IP,PC(I)(Cl)Cl
CH2Cl3OP,ClC(Cl)(Cl)[P]([H])([H])=O
CH2Cl3P,ClC(Cl)(P)Cl
CH2ClF2OP,ClC(F)(F)[P]([H])([H])=O
CH2ClF2P,PC(F)(Cl)F
CH2ClFIOP,ClC(I)(PO)F
CH2ClFIP,PC(I)(Cl)F
CH2ClI2P,PC(I)(Cl)I
CH2ClOP,O=PCCl
CH2F2IOP,FC(I)(F)[P]([H])([H])=O
CH2F2IP,PC(I)(F)F
CH2F3OP,FC(F)(F)[P]([H])([H])=O
CH2F3P,PC(F)(F)F
CH2FI2P,PC(I)(F)I
CH2FOP,O=PCF
CH2IOP,O=PCI
CH3Br2OP,BrC(Br)[P]([H])([H])=O
CH3Br2P,BrC(P)Br
CH3BrClO2P,O=P(C(Br)Cl)O
CH3BrClOP,BrC(Cl)[P]([H])([H])=O
CH3BrClP,BrC(P)Cl
CH3BrFO2P,O=P(C(Br)F)O
CH3BrFOP,BrC(F)[P]([H])([H])=O
CH3BrFP,PC(Br)F
CH3BrIOP,BrC(I)[P]([H])([H])=O
CH3BrIP,PC(Br)I
CH3Cl2O2P,O=P(C(Cl)Cl)O
CH3Cl2P,ClC(P)Cl
CH3ClFO2P,O=P(C(Cl)F)O
CH3ClFOP,ClC(F)[P]([H])([H])=O
CH3ClFP,PC(Cl)F
CH3ClIOP,ClC(I)[P]([H])([H])=O
CH3ClIP,ClC(P)I
CH3F2O2P,O=P(C(F)F)O
CH3F2OP,FC(F)[P]([H])([H])=O
CH3F2P,PC(F)F
CH3FIO2P,O=P(C(F)I)O
CH3FIOP,FC(I)[P]([H])([H])=O
CH3FIP,PC(F)I
CH3I2P,PC(I)I
CH3N2P,C(#N)PN
CH3O2P,O=POC
CH3O4P,O=CP(=O)(O)O
CH3OP,O=PC
CH4BrO2P,O=P(CBr)O
CH4BrOP,BrC[P]([H])([H])=O
CH4BrP,BrCP
CH4ClO2P,O=P(CCl)O
CH4ClO3P,O=P(O)(CCl)O
CH4ClOP,ClC[P]([H])([H])=O
CH4ClP,ClCP
CH4FO2P,O=P(CF)O
CH4FO3P,O=P(O)(CF)O
CH4FOP,FC[P]([H])([H])=O
CH4FP,PCF
CH4IO2P,O=P(CI)O
CH4IOP,IC[P]([H])([H])=O
CH4IP,ICP
CH4NOP,CNP=O
CH5N2P,C(=N)(N)P
CH5O2P,O=P(C)O
CH5O2PS,CP(=S)(O)O
CH5O3P,O=P(O)OC
CH5O3P_1,O=P(O)(C)O
CH5O3PS,O=P(O)(O)CS
CH5O3PS_1,S=P(O)(O)OC
CH5O3PSe,O=P(C[SeH])(O)O
CH5O4P,O=P(O)(CO)O
CH5O4P_1,O=P(O)(O)OC
CH5OPS3,S=P(OC)(S)S
CH5P,CP
CH6NO2P,O=P(CN)O
CH6NO2P_1,O=P(O)(N)C
CH6NO3P,O=P(O)(CN)O
CH6P2,C(P)P
CHBr2OP,O=PC(Br)Br
CHBrClOP,O=PC(Br)Cl
CHBrFOP,O=PC(Br)F
CHBrIOP,O=PC(Br)I
CHCl2OP,O=PC(Cl)Cl
CHClFOP,O=PC(Cl)F
CHClIOP,O=PC(Cl)I
CHF2OP,O=PC(F)F
CHFIOP,O=PC(F)I
CHI2OP,O=PC(I)I
H3O2P,O=[PH2]O
H3O2PS,O=P(O)([H])S
H3O3P,O=P(O)O
H3O3PS,S=P(O)(O)O
H3O4P,O=P(O)(O)O
H3OP,[H][P]([H])([H])=O
H3OPS2,O=P([H])(S)S
H3P,P
H4NO2PS,S=P(O)(O)N
H4NO3P,NP(=O)(O)O
H4NOP,N[P]([H])([H])=O
H4NP,NP
H5N2O2P,NP(=O)(N)O
H5N2OPS,NP(N)(O)=S
H6N3OP,NP(=O)(N)N
H6N3PS,NP(N)(N)=S
HO2P,O=PO
HOP,P=O
P4,P12P3P1P23
C2H2BrOP,O=PC(Br)=C
C2H2BrOP_1,O=PC=CBr
C2H2BrOP_2,BrC#C[P]([H])([H])=O
C2H2ClOP,O=PC(Cl)=C
C2H2ClOP_1,O=PC=CCl
C2H2ClOP_2,ClC#C[P]([H])([H])=O
C2H2IOP,O=PC(I)=C
C2H2IOP_1,O=PC=CI
C2H2IOP_2,IC#C[P]([H])([H])=O
C2H4BrOP,O=PC(Br)C
C2H4BrOP_1,O=PCCBr
C2H4BrOP_2,O=P1C(Br)C1
C2H4BrOP_3,BrC(=C)[P]([H])([H])=O
C2H4BrOP_4,BrC=C[P]([H])([H])=O
C2H4ClOP,O=PC(Cl)C
C2H4ClOP_1,O=PCCCl
C2H4ClOP_2,O=P1C(Cl)C1
C2H4ClOP_3,ClC(=C)[P]([H])([H])=O
C2H4ClOP_4,ClC=C[P]([H])([H])=O
C2H4IOP,O=PC(I)C
C2H4IOP_1,O=PCCI
C2H4IOP_2,O=P1C(I)C1
C2H4IOP_3,IC(=C)[P]([H])([H])=O
C2H4IOP_4,IC=C[P]([H])([H])=O
C3H5OP,O=P1C=CC1
C3H5OP_1,O=PCC=C
C3H5OP_2,C#CPOC
C3H5OP_3,O=P(C)C#C
C3H5OP_4,C#CC[P]([H])([H])=O
C3H7OP,C1CPCO1
C3H7OP_1,COP1CC1
C3H7OP_2,O=P1(C)CC1
C3H7OP_3,C=CPOC
C3H7OP_4,O=P(C)C=C
C3H7OP_5,O=PCCC
C3H7OP_6,O=P1CCC1
C3H7OP_7,C=CC[P]([H])([H])=O
C3H9OP,OCP(C)C
C3H9OP_1,CC(O)CP
C3H9OP_2,CCPOC
C3H9OP_3,O=P(C)CC
C3H9OP_4,CP(C)OC
C3H9OP_5,O=P(C)(C)C
C3H9OP_6,CCC[P]([H])([H])=O
CH5OP,POC
CH5OP_1,OCP
CH5OP_2,C[P]([H])([H])=O
C2H3Br2OP,O=PC(C)(Br)Br
C2H3Br2OP_1,O=PC(Br)CBr
C2H3Br2OP_2,O=PCC(Br)Br
C2H3Br2OP_3,O=P1C(Br)(Br)C1
C2H3Br2OP_4,O=P1C(Br)C1Br
C2H3Br2OP_5,BrC(=CBr)[P]([H])([H])=O
C2H3Br2OP_6,BrC(Br)=C[P]([H])([H])=O
C2H3BrClOP,O=PC(C)(Br)Cl
C2H3BrClOP_1,O=PC(Br)CCl
C2H3BrClOP_2,O=PC(Cl)CBr
C2H3BrClOP_3,O=PCC(Br)Cl
C2H3BrClOP_4,O=P1C(Cl)(Br)C1
C2H3BrClOP_5,O=P1C(Br)C1Cl
C2H3BrClOP_6,BrC(=CCl)[P]([H])([H])=O
C2H3BrClOP_7,ClC(=CBr)[P]([H])([H])=O
C2H3BrClOP_8,BrC(Cl)=C[P]([H])([H])=O
C2H3Cl2OP,O=PC(C)(Cl)Cl
C2H3Cl2OP_1,O=PC(Cl)CCl
C2H3Cl2OP_2,O=PCC(Cl)Cl
